"课程名称","课程类型","课程介绍","课程链接","二级部门","课程属性","授课日期"
"中考政策解读","教育素养类","对当前相关教育政策进行详细解读，明确政策核心内容、实施要求及影响，帮助相关人员准确理解并落实政策。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=c32bcdc3e13343959b9d00c0d117d314","爱学产品线","","2026-03-17"
"新形态AI提效通识——OpenClaw、CC、Cowork快速入门","AI应用类","讲解新形态AI提效的基础通识知识，重点演示OpenClaw、CC、Cowork三款工具的快速入门方法，帮助学员快速上手使用工具实现提效。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=2866feacbce4419f9d4fc1393553f4b1","大课堂产品线","","2026-02-28"
"The 10x You——从“会用工具”到“用AI重构你的工作方式”","AI应用类","引导学员从单纯会用AI工具，向用AI重构工作方式转变，分享高效工作思维与方法，助力学员实现工作效率10倍提升。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=2fc3bf5c66cb4e3285d37f753e96449a","大课堂产品线","","2026-03-10"
"新形态 AI 提效——集成交付项目实践","AI应用类","结合集成交付项目实战案例，讲解新形态AI提效在项目中的应用方法、执行流程及落地要点，提升学员项目实战能力。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=3c294d7aedd44768a7f620c61f61f26e","大课堂产品线","","2026-03-24"
"新一代民办校学业解决方案宣贯","产品类","宣贯新一代民办校学业解决方案的核心内容、优势特点、适用场景及实施方法，帮助相关人员全面了解并推广该方案。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=a4eb981b76204208b197f2291f42e80d","交付服务部","精品课程","2026-03-23"
"当前我国教育政策热点解读分析 ——“AI + 教育” 与 “四个未来”","教育素养类","聚焦当前我国教育政策热点，重点解读“AI+教育”与“四个未来”的核心内涵、实施要求及发展趋势，助力学员精准把握政策导向。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=f21c88224dc84e6ba49e64d7f1caaebc","教育技术研究院","精品课程","2026-03-09"
"Skills与OpenClaw介绍","AI应用类","详细介绍Skills的核心功能、使用场景，以及OpenClaw工具的特点、操作要点，帮助学员全面掌握两者的基础信息与使用方法。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=36fea76ad34f46b3a11a101421688db6","大学情产品线","精品课程","2026-02-06"
"人人都可创造AI数字人：讲解Claude Code的关键skills","AI应用类","面向所有学员，讲解使用Claude Code创造AI数字人的核心技巧，重点拆解关键skills，让学员快速掌握AI数字人创造方法。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=4aa9f281c95243479e6ed789408fa69a","大学情产品线","","2026-03-06"
"产品经理、项目经理、设计师 AI 提效实战案例分享","AI应用类","分享产品经理、项目经理、设计师三大岗位的AI提效实战案例，拆解AI工具在各岗位的应用技巧，助力相关岗位学员提升工作效率。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=07e6df68d74b45129d13dce42f8c54be","大学情产品线","","2026-03-13"
"招考平台国产化及商密实践","研发技术类","讲解招考平台国产化的实现路径、核心技术，以及商业秘密保护的实践方法、注意事项，保障招考平台安全合规运行。","https://ebg.iflytek.com/article/detail?id=hi7vp3p0mk7wj436lv4egu6a","技术平台部","","2026-03-11"
"大学情自动化弹性伸缩平台建设实践","研发技术类","分享大学情自动化弹性伸缩平台的建设思路、技术架构、实施流程及实战经验，助力相关人员掌握平台建设核心要点。","https://ebg.iflytek.com/article/detail?id=hi7vp3p0mk7wj436lv4egu6a","技术平台部","","2026-03-25"
"智能运维Agent—— 自动化运维的新模式","研发技术类","介绍智能运维Agent的核心功能、工作原理，解读其作为自动化运维新模式的优势及应用场景，助力学员了解运维行业新趋势。","https://ebg.iflytek.com/article/detail?id=tn6xt53aqzqze26o0n57njl1","技术平台部","精品课程","2026-03-18"
"新形态AI工具提效通识培训","AI应用类","开展新形态AI工具提效通识培训，覆盖AI工具的基础认知、应用逻辑及通用提效技巧，帮助学员建立AI提效基础思维。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=5c7c68624af2423cbac73f9be3966977","技术平台部","","2026-03-06"
"新形态AI工具提效进阶培训","AI应用类","在通识培训基础上，开展AI工具提效进阶培训，讲解复杂场景下的工具应用技巧、提效方案设计，提升学员AI提效进阶能力。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=afd01fb87876456d9c7acc86ba731453","技术平台部","精品课程","2026-03-13"
"当 PM 遇上 AI Agent：基于真实案例的使用分享","AI应用类","结合真实案例，分享PM（产品经理）使用AI Agent的方法、技巧及应用场景，助力PM利用AI Agent提升工作效率与工作质量。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=8f21122bec524081a5e1fe9f523244ca","考试与语言学习产品线","","2026-03-19"
"AI重塑高教生态与商业模式","AI应用类","解读AI技术对高等教育生态的重塑作用，分析AI驱动下高教行业的商业模式变革方向、核心逻辑及发展机遇。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=014fa245ca5a42f18ef590d53bcfb560","高教产品线","","2026-03-26"
"Claude Code 落地实操与黄金要点分享","AI应用类","讲解Claude Code的落地实操步骤、操作技巧，分享其使用过程中的黄金要点与避坑指南，帮助学员高效落地使用Claude Code。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=014fa245ca5a42f18ef590d53bcfb560","高教产品线","","2026-03-26"
"用CC打造智能体团队","AI应用类","分享利用CC工具打造智能体团队的方法、逻辑及管理技巧，指导学员搭建高效智能体团队，提升团队工作效率。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=7c32588bcc334667ac6f05b595bff5f3","高教产品线","","2026-03-26"
"数据驱动，精准提分-重构民办校“管-教-学”育人链路","产品类","讲解以数据驱动为核心的民办校提分策略，分享如何重构“管-教-学”育人链路，实现精准提分，提升民办校教学质量。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=f2fb42130b9147c9b74f71e1eeee4c64","市场与方案部","","2026-03-06"
"AI工具提效通识培训","AI应用类","开展AI工具提效通识培训，覆盖AI工具的基础认知、应用逻辑及通用提效技巧，帮助学员建立AI提效基础思维。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=229d965d311c4e46a58512abfe986d56","运作支持部","","2026-03-20"
"新形态AI工具提效高阶培训","AI应用类","从0到1复现一个工业级 A1编程助手。深入掌握终瑞智能体基座(TUI)、ReAt推理引學、自适应上下文压缩(ACC)、九阶模糊匹配编辑等底层核心技木。建立从""猎令使用。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=b8900cdb221a4f33abdc25ce9cd2209f","技术平台部","精品课程","2026-04-10"
"大模型在学习机服务端流量回放测试的应用","研发技术类","学习机服务端测试流量回放方向上，如何使用大模型进行提效落地，复杂的测试场景快速持久化、自动化，以及一些技术、方向的探索。","https://ebg.iflytek.com/course/detail?id=uvwe20ckv4f8fyqe3ntncjuu","技术平台部","","2026-04-22"
"从AI Coding到AI产品开发","AI应用类","「从AI Coding到AI产品开发」，结合技术趋势与实践经验，分享 AI 编程工程化提效方法、AI 应用落地关键技术与架构范式，探讨如何高效降低 AI 编程误差、快速搭建稳定可控的 AI 智能体应用，共同探索 AI 产品开发的工程化实践路径。","https://ebg.iflytek.com/course/detail?id=pot5drk7wy3hl5abwsh4eg7b","技术平台部","","2026-04-15"
"AI 赋能设计师的代码交付新范式解读","AI应用类","基于大学情、高教设计团队沉淀的优秀案例，进行团队整体赋能，帮助提升设计效率","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=138eeaf53e6b46a29fe3d774ea94944c","体验设计中心","精品课程","2026-04-22"
"AI重构交付模式与成本结构实践","AI应用类","基于考试与口语产品重服务、强资源的业务属性，用AI弥补多样性服务能力，替代重复性劳动，实现从人力密集到技术驱动升级的转变。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=a1f3bfb48cbc4d6abce625aaf1ea5cbf","高教产品线","","2026-04-09"
"Claude Code 研发提效：经验与技巧","AI应用类","分享个人工作中使用 Claude Code 的经验与技巧，结合实际开发场景，聊聊如何用它辅助编码、重构与问题排查，同时总结使用过程中的避坑心得，提升研发效率。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=b5744bae864e4af1b358ab7af1e02e33","高教产品线","","2026-04-09"
"Agentic PM的认知到实践，助力产研协作力提升","AI应用类","通过构建产品知识库、交互规范沉淀和结构化评审闭环。","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=1fa3c8342e414204bdf154051a4ae229","高教产品线","","2026-04-16"
"AI时代，设计如何推动更高质量的产品交付","AI应用类","围绕“篝火”模式下设计从“提效”到“提质”的转变带来产品UI品味提升。内容涵盖：1.为什么 AI 越强，产品的差异化表达越来越重要？ 2.高质量设计是怎么做出来的？ 3.如何一起做出更好的产品？","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=badd46b94b2843b782d5c6eb5dcf4ff0","高教产品线","精品课程","2026-04-23"
"基础教育行政与教研教学通识","教育素养类","理解教育系统的运作逻辑、教研部门的工作全貌、学校教学的核心场景，能与教育客户同频对话","https://ifly.21tb.com/courseSetting/courseLearning/play?courseType=NEW_COURSE_CENTER&courseId=b7e99b9af21a43c7bef6ebb4f3107384","市场与方案部","精品课程","2026-04-10"
